Results K-fold
1) accuracy: 85.71
2) accuracy: 75.0
3) accuracy: 64.29
4) accuracy: 75.0
5) accuracy: 78.57
6) accuracy: 85.71
7) accuracy: 75.0
8) accuracy: 82.14
9) accuracy: 82.14
10) accuracy: 82.14
11) accuracy: 64.29
12) accuracy: 78.57
13) accuracy: 82.14
14) accuracy: 82.14
15) accuracy: 78.57
16) accuracy: 75.0
17) accuracy: 75.0
18) accuracy: 71.43
19) accuracy: 78.57
20) accuracy: 75.0

Average: 77.3 %
