Results K-fold
267) accuracy: 64.29
268) accuracy: 71.43
269) accuracy: 78.57
270) accuracy: 71.43
271) accuracy: 75.0
272) accuracy: 78.57
273) accuracy: 71.43
274) accuracy: 71.43
275) accuracy: 85.71
276) accuracy: 75.0
277) accuracy: 85.71
278) accuracy: 82.14
279) accuracy: 75.0
280) accuracy: 82.14
281) accuracy: 71.43
282) accuracy: 89.29
283) accuracy: 82.14
284) accuracy: 71.43
285) accuracy: 67.86
286) accuracy: 64.29
287) accuracy: 85.71
288) accuracy: 85.71
289) accuracy: 67.86
290) accuracy: 75.0
291) accuracy: 78.57
292) accuracy: 78.57
293) accuracy: 71.43
294) accuracy: 78.57
295) accuracy: 78.57
296) accuracy: 92.86
297) accuracy: 71.43
298) accuracy: 75.0
299) accuracy: 82.14
300) accuracy: 75.0
301) accuracy: 71.43
302) accuracy: 78.57
303) accuracy: 75.0
304) accuracy: 89.29
305) accuracy: 75.0
306) accuracy: 64.29
307) accuracy: 82.14
308) accuracy: 67.86
309) accuracy: 67.86
310) accuracy: 75.0
311) accuracy: 78.57
312) accuracy: 75.0
313) accuracy: 71.43
314) accuracy: 71.43
315) accuracy: 67.86
316) accuracy: 78.57
317) accuracy: 82.14
318) accuracy: 75.0
319) accuracy: 71.43
320) accuracy: 67.86
321) accuracy: 82.14
322) accuracy: 82.14
323) accuracy: 75.0
324) accuracy: 82.14
325) accuracy: 78.57
326) accuracy: 71.43
327) accuracy: 78.57
328) accuracy: 82.14
329) accuracy: 67.86
330) accuracy: 82.14
331) accuracy: 75.0
332) accuracy: 89.29
333) accuracy: 78.57
334) accuracy: 67.86
335) accuracy: 71.43
336) accuracy: 82.14
337) accuracy: 78.57
338) accuracy: 64.29
339) accuracy: 78.57
340) accuracy: 71.43
341) accuracy: 78.57
342) accuracy: 78.57
343) accuracy: 85.71
344) accuracy: 75.0
345) accuracy: 75.0
346) accuracy: 75.0
347) accuracy: 75.0
348) accuracy: 71.43
349) accuracy: 82.14
350) accuracy: 75.0
351) accuracy: 75.0
352) accuracy: 67.86
353) accuracy: 82.14
354) accuracy: 57.14
355) accuracy: 92.86
356) accuracy: 67.86
357) accuracy: 82.14
358) accuracy: 71.43
359) accuracy: 85.71
360) accuracy: 75.0
361) accuracy: 78.57
362) accuracy: 85.71
363) accuracy: 78.57
364) accuracy: 85.71
365) accuracy: 71.43
366) accuracy: 78.57
367) accuracy: 67.86
368) accuracy: 60.71
369) accuracy: 75.0
370) accuracy: 67.86
371) accuracy: 67.86
372) accuracy: 82.14
373) accuracy: 67.86
374) accuracy: 75.0
375) accuracy: 71.43
376) accuracy: 82.14
377) accuracy: 85.71
378) accuracy: 82.14
379) accuracy: 75.0
380) accuracy: 78.57
381) accuracy: 75.0
382) accuracy: 82.14
383) accuracy: 78.57
384) accuracy: 78.57
385) accuracy: 82.14
386) accuracy: 71.43
387) accuracy: 60.71
388) accuracy: 78.57
389) accuracy: 71.43
390) accuracy: 71.43
391) accuracy: 67.86
392) accuracy: 75.0
393) accuracy: 75.0
394) accuracy: 85.71
395) accuracy: 67.86
396) accuracy: 78.57
397) accuracy: 67.86
398) accuracy: 75.0
399) accuracy: 85.71
400) accuracy: 85.71
401) accuracy: 78.57
402) accuracy: 71.43
403) accuracy: 82.14
404) accuracy: 82.14
405) accuracy: 67.86
406) accuracy: 78.57
407) accuracy: 75.0
408) accuracy: 75.0
409) accuracy: 75.0
410) accuracy: 78.57
411) accuracy: 67.86
412) accuracy: 78.57
413) accuracy: 75.0
414) accuracy: 75.0
415) accuracy: 67.86
416) accuracy: 75.0
417) accuracy: 71.43
418) accuracy: 82.14
419) accuracy: 75.0
420) accuracy: 75.0
421) accuracy: 78.57
422) accuracy: 82.14
423) accuracy: 75.0
424) accuracy: 89.29
425) accuracy: 75.0
426) accuracy: 92.86
427) accuracy: 82.14
428) accuracy: 75.0
429) accuracy: 67.86
430) accuracy: 78.57
431) accuracy: 78.57
432) accuracy: 75.0
433) accuracy: 82.14
434) accuracy: 75.0
435) accuracy: 75.0
436) accuracy: 75.0
437) accuracy: 67.86
438) accuracy: 82.14
439) accuracy: 71.43
440) accuracy: 71.43
441) accuracy: 92.86
442) accuracy: 78.57
443) accuracy: 82.14
444) accuracy: 78.57
445) accuracy: 89.29
446) accuracy: 78.57
447) accuracy: 82.14
448) accuracy: 75.0
449) accuracy: 75.0
450) accuracy: 82.14
451) accuracy: 82.14
452) accuracy: 67.86
453) accuracy: 78.57
454) accuracy: 85.71
455) accuracy: 82.14
456) accuracy: 75.0
457) accuracy: 67.86
458) accuracy: 75.0
459) accuracy: 78.57
460) accuracy: 64.29
461) accuracy: 78.57
462) accuracy: 67.86
463) accuracy: 75.0
464) accuracy: 85.71
465) accuracy: 67.86
466) accuracy: 78.57
467) accuracy: 71.43
468) accuracy: 67.86
469) accuracy: 78.57
470) accuracy: 78.57
471) accuracy: 78.57
472) accuracy: 67.86
473) accuracy: 75.0
474) accuracy: 78.57
475) accuracy: 82.14
476) accuracy: 67.86
477) accuracy: 67.86
478) accuracy: 82.14
479) accuracy: 85.71
480) accuracy: 75.0
481) accuracy: 64.29
482) accuracy: 82.14
483) accuracy: 67.86
484) accuracy: 78.57
485) accuracy: 75.0
486) accuracy: 75.0
487) accuracy: 78.57
488) accuracy: 78.57
489) accuracy: 75.0
490) accuracy: 82.14
491) accuracy: 75.0
